60	506
0	1	30
1	1	60
1	2	30
1	16	15
1	18	30
2	3	10
3	0	60
3	3	60
3	14	15
3	16	60
3	18	30
4	5	10
5	5	45
5	14	15
6	7	10
7	7	60
7	8	15
7	10	60
8	9	30
9	6	60
9	9	45
9	10	15
10	11	10
11	6	20
11	8	20
11	11	45
12	13	10
13	13	45
13	20	60
13	22	30
13	24	15
13	26	20
13	28	60
13	30	15
13	32	30
13	34	60
13	36	15
13	38	60
13	40	30
13	42	15
13	44	60
13	46	30
13	48	15
13	50	20
13	52	60
13	54	15
13	56	60
13	58	30
14	15	10
15	2	20
15	4	20
15	15	90
15	16	30
15	18	20
16	17	10
17	0	15
17	2	30
17	14	15
17	17	90
17	18	30
18	19	10
19	0	60
19	2	60
19	14	30
19	16	20
19	19	60
20	21	10
21	12	60
21	21	90
21	22	15
21	24	20
21	26	20
21	28	20
21	30	20
21	32	30
21	34	15
21	36	60
21	38	20
21	40	15
21	42	20
21	44	20
21	46	30
21	48	30
21	50	60
21	52	15
21	54	60
21	56	60
21	58	30
22	23	30
23	12	15
23	20	30
23	23	60
23	24	30
23	26	20
23	28	15
23	30	15
23	32	15
23	34	30
23	36	60
23	38	60
23	40	15
23	42	15
23	44	30
23	46	15
23	48	30
23	50	15
23	52	15
23	54	20
23	56	60
23	58	15
24	25	10
25	12	60
25	20	30
25	22	15
25	25	180
25	26	60
25	28	30
25	30	30
25	32	20
25	34	30
25	36	20
25	38	15
25	40	60
25	42	15
25	44	60
25	46	20
25	48	15
25	50	60
25	52	15
25	54	60
25	56	15
25	58	20
26	27	10
27	12	60
27	20	15
27	22	60
27	24	60
27	27	180
27	28	15
27	30	20
27	32	20
27	34	60
27	36	30
27	38	30
27	40	30
27	42	20
27	44	60
27	46	15
27	48	60
27	50	15
27	52	15
27	54	15
27	56	30
27	58	30
28	29	15
29	12	20
29	20	30
29	22	60
29	24	30
29	26	30
29	29	45
29	30	15
29	32	30
29	34	60
29	36	30
29	38	30
29	40	15
29	42	30
29	44	15
29	46	60
29	48	60
29	50	30
29	52	15
29	54	15
29	56	60
29	58	30
30	31	15
31	12	30
31	20	60
31	22	30
31	24	15
31	26	20
31	28	20
31	31	60
31	32	20
31	34	30
31	36	60
31	38	60
31	40	30
31	42	20
31	44	60
