60	360
0	1	270
1	1	60
1	14	15
1	16	60
2	3	180
3	3	240
4	5	180
5	5	120
5	8	20
5	12	60
5	18	60
5	20	20
5	22	60
5	24	20
5	26	20
5	28	30
5	30	15
5	32	30
5	34	20
5	36	20
5	38	30
5	40	30
5	42	20
5	44	30
5	46	60
5	48	15
5	50	30
5	52	30
5	54	15
5	56	15
5	58	20
6	7	180
7	7	60
8	9	180
9	9	80
10	11	540
11	11	240
11	12	15
11	18	15
11	20	60
11	22	20
11	24	60
11	26	60
11	28	20
11	30	20
11	32	15
11	34	60
11	36	20
11	38	30
11	40	60
11	42	30
11	44	30
11	46	15
11	48	15
11	50	15
11	52	15
11	54	20
11	56	15
11	58	30
12	13	270
13	13	80
13	18	30
13	20	30
13	22	15
13	24	20
13	26	60
13	28	30
13	30	20
13	32	20
13	34	60
13	36	15
13	38	20
13	40	15
13	42	60
13	44	30
13	46	15
13	48	20
13	50	60
13	52	60
13	54	15
13	56	20
13	58	15
14	15	180
15	15	120
15	16	30
15	18	60
15	20	15
15	22	30
15	24	15
15	26	30
15	28	30
15	30	60
15	32	20
15	34	20
15	36	30
15	38	60
15	40	15
15	42	30
15	44	15
15	46	30
15	48	30
15	50	60
15	52	15
15	54	15
15	56	20
15	58	60
16	17	180
17	17	240
18	19	270
19	19	120
19	20	30
19	22	15
19	24	60
19	26	20
19	28	60
19	30	15
19	32	30
19	34	20
19	36	60
19	38	60
19	40	30
19	42	20
19	44	15
19	46	60
19	48	30
19	50	30
19	52	15
19	54	30
19	56	20
19	58	30
20	21	270
21	21	120
21	22	20
21	24	60
21	26	20
21	28	15
21	30	15
21	32	30
21	34	15
21	36	20
21	38	20
21	40	30
21	42	30
21	44	60
21	46	20
21	48	20
21	50	15
21	52	15
21	54	15
21	56	20
21	58	20
22	23	540
23	23	120
23	24	30
23	26	15
23	28	30
23	30	30
23	32	60
23	34	30
23	36	60
23	38	30
23	40	15
23	42	20
23	44	30
23	46	60
23	48	30
23	50	20
23	52	15
23	54	15
23	56	15
23	58	60
24	25	270
25	25	240
25	26	15
25	28	30
25	30	20
25	32	60
25	34	30
25	36	15
25	38	20
25	40	15
25	42	30
25	44	60
25	46	60
25	48	30
25	50	60
25	52	60
25	54	30
25	56	20
25	58	60
26	27	540
27	27	120
27	28	20
27	30	30
27	32	20
27	34	60
27	36	15
27	38	60
27	40	30
27	42	20
27	44	30
27	46	30
27	48	15
27	50	60
27	52	30
27	54	60
27	56	15
27	58	60
28	29	540
29	29	120
29	30	20
29	32	15
29	34	30
29	36	15
29	38	15
29	40	30
29	42	60
29	44	15
29	46	15
29	48	20
29	50	20
29	52	60
29	54	20
29	56	15
29	58	30
30	31	180
31	31	240
31	32	20
31	34	15
31	36	20
31	38	30
31	40	20
31	42	30
31	44	20
31	46	20
31	48	20
31	50	15
31	52	15
31	54	60
31	56	60
31	58	20
32	33	180
33	33	240
33	34	15
33	36	60
33	38	15
33	40	20
33	42	15
33	44	30
33	46	20
33	48	20
33	50	15
33	52	60
33	54	15
33	56	20
33	58	20
34	35	270
35	35	80
35	36	60
35	38	30
35	40	15
35	42	20
35	44	20
35	46	60
35	48	15
35	50	20
35	52	15
35	54	15
35	56	60
35	58	60
36	37	180
37	37	60
37	38	20
37	40	30
37	42	30
37	44	20
37	46	15
37	48	60
37	50	20
37	52	30
37	54	15
37	56	15
37	58	30
38	39	180
39	39	120
39	40	20
39	42	30
39	44	30
39	46	60
39	48	30
39	50	15
39	52	60
39	54	60
39	56	20
39	58	60
40	41	270
41	41	80
41	42	30
41	44	30
41	46	30
41	48	15
41	50	15
41	52	60
41	54	60
41	56	15
41	58	15
42	43	270
43	43	80
43	44	20
43	46	20
43	48	15
43	50	30
43	52	20
43	54	60
43	56	20
43	58	15
44	45	180
45	45	120
45	46	15
45	48	15
45	50	30
45	52	60
45	54	60
45	56	15
45	58	20
46	47	180
47	47	60
47	48	15
47	50	30
47	52	15
47	54	20
47	56	60
47	58	20
48	49	540
49	49	240
49	50	20
49	52	20
49	54	20
49	56	15
49	58	20
50	51	540
51	51	80
51	52	60
51	54	20
51	56	60
51	58	60
52	53	540
53	53	120
53	54	15
53	56	20
53	58	60
54	55	540
55	55	60
55	56	15
55	58	30
56	57	270
57	57	120
57	58	20
58	59	270
59	59	240
